GROUP,Sample,0,10,20,30,40,50,60,70,80,90,100,110,120,rate of change,concentration change,amount TNB/s (M),amount TNB/s (nM),amount TNB/min (nM),protein concentration (ug/mL),protein amount
AM_G47 & G48,Diseased cells - cytosolic fraction,-0.057,-0.057,-0.056,-0.055,-0.054,-0.053,-0.052,-0.053,-0.052,-0.05,-0.049,-0.049,-0.049,0.0000741758,,,,,167.3136,8.365678401
AM_G47 & G48,Diseased cells - mitochondrial fraction,0,0.017,0.034,0.052,0.069,0.085,0.101,0.117,0.133,0.148,0.162,0.177,0.191,0.0015967033,,,,,477.7052,23.88526213
AM_G47 & G48,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.045,-0.043,-0.039,-0.039,-0.036,-0.036,-0.034,-0.032,-0.03,-0.027,-0.024,-0.022,-0.02,0.0002016484,,,,,246.1053,12.30526504
AM_G47 & G48,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.018,0.002,0.023,0.045,0.066,0.083,0.1,0.113,0.125,0.134,0.141,0.149,0.155,0.0014615385,,,,,363.0991,18.15495429
AM_G47 & G48,Positive control,-0.012,0.003,0.016,0.027,0.036,0.044,0.05,0.058,0.064,0.07,0.075,0.08,0.086,0.0007736264,,,,,352,3.52
AM_G57 & G58,Negative control,0,0.006,0.001,0,0,0,0,0,0,0,0,0,0,-0.0000186813,,,,,0,0
AM_G57 & G58,Diseased cells - cytosolic fraction,0,-0.006,-0.001,0.001,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0000247253,,,,,2792.8970,139.6448518
AM_G57 & G58,Diseased cells - mitochondrial fraction,0,-0.004,0.009,0.01,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.0000313187,,,,,2792.0101,139.6005042
AM_G57 & G58,Diseased – 10 μM Respiranox cells - cytosolic fraction,0,-0.005,0.008,0.007,0.008,0.002,0.001,-0.001,-0.002,-0.001,0,0.001,0,-0.0000269231,,,,,2784.9145,139.2457237
AM_G57 & G58,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.001,0.008,0.007,0.007,0.006,0.005,-0.001,0.001,0.008,0.009,0.008,0.007,0.0000357143,,,,,2800.8796,140.0439799
