GROUP,Sample,0,10,20,30,40,50,60,70,80,90,100,110,120,rate of change,protein concentration (mg/mL),protein amount
AM_G41 & G42,Diseased cells - cytosolic fraction,0.001,0.004,0.016,0.021,0.025,0.028,0.031,0.035,0.036,0.037,0.042,0.045,0.048,0.000367033,0.0955182,0.001910364
PM_G3 & G4,Diseased cells - cytosolic fraction,-0.036,-0.035,-0.033,-0.033,-0.032,-0.031,-0.029,-0.028,-0.027,-0.026,-0.025,-0.025,-0.025,0.0001,0.0456343,0.000912686
PM_G3 & G4,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.034,-0.033,-0.031,-0.031,-0.03,-0.029,-0.027,-0.026,-0.025,-0.023,-0.022,0.021,0.019,0.000363187,0.0456343,0.000912686
2025_G1 & G2,Negative control,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00,0.001,0.00005
2025_G3 & G4,Negative control,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00,0.001,0.00005
2025_G5 & G6,Negative control,0.001,0.001,0.002,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.00,0.001,0.00005
2025_G7 & G8,Negative control,0.001,0.001,0.002,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.00,0.001,0.00005
2025_G9 & G10,Negative control,0.001,0.001,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.00,0.001,0.00005
2025_G11 & G12,Negative control,0.001,0.001,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.00,0.001,0.00005
2025_G13 & G14,Negative control,0.001,0.001,0.002,0.004,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.00,0.001,0.00005
2025_G15 & G16,Negative control,0.001,0.002,0.002,0.004,0.002,0.003,0.003,0.004,0.005,0.003,0.003,0.004,0.002,0.00,0.001,0.00005
2025_G17 & G18,Negative control,0.002,0.002,0.003,0.004,0.002,0.003,0.002,0.004,0.005,0.003,0.004,0.004,0.002,0.00,0.001,0.00005
2025_G43 & G44,Negative control,0.002,0.002,0.003,0.004,0.002,0.003,0.002,0.004,0.004,0.003,0.004,0.005,0.002,0.00,0.001,0.00005
2025_G45 & G46,Negative control,0.002,0.002,0.003,0.004,0.002,0.004,0.002,0.003,0.005,0.003,0.005,0.005,0.003,0.00,0.001,0.00005
2025_G47 & G48,Negative control,0.002,0.002,0.004,0.004,0.003,0.003,0.002,0.004,0.005,0.003,0.005,0.006,0.003,0.00,0.001,0.00005
2025_G49 & G50,Negative control,0.002,0.002,0.003,0.004,0.003,0.004,0.002,0.004,0.006,0.003,0.005,0.007,0.003,0.00,0.001,0.00005
2025_G51 & G52,Negative control,0.002,0.003,0.003,0.005,0.003,0.004,0.003,0.003,0.007,0.003,0.005,0.008,0.004,0.00,0.001,0.00005
2025_G53 & G54,Negative control,0.002,0.003,0.003,0.005,0.003,0.005,0.003,0.004,0.008,0.003,0.005,0.01,0.004,0.00,0.001,0.00005
2025_G55 & G56,Negative control,0.002,0.003,0.003,0.005,0.003,0.005,0.003,0.005,0.009,0.004,0.006,0.009,0.004,0.00,0.001,0.00005
2025_G57 & G58,Negative control,0.002,0.003,0.003,0.005,0.003,0.006,0.003,0.005,0.008,0.005,0.006,0.01,0.004,0.00,0.001,0.00005
2025_G59 & G60,Negative control,0.003,0.003,0.003,0.007,0.004,0.006,0.003,0.006,0.009,0.005,0.005,0.011,0.004,0.00,0.001,0.00005
AM_G1 & G6,Negative control,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.001,0.00005
AM_G39 & G40,Negative control,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,-0.003,0.00,0.001,0.00005
AM_G41 & G42,Negative control,0,0,0,-0.001,-0.001,0,0,-0.001,0,0,0,0,0,0.00,0.001,0.00005
AM_G43 & G44,Negative control,-0.043,-0.046,-0.049,-0.048,-0.048,-0.049,-0.049,-0.048,-0.048,-0.048,-0.047,-0.047,-0.047,0.00,0.001,0.00005
AM_G45 & G46,Negative control,0.003,0.006,0.005,0.005,0.006,0.007,0.008,0.009,0.009,0.01,0.01,0.01,0.01,0.00,0.001,0.00005
AM_G47 & G48,Negative control,-0.036,-0.036,-0.035,0,-0.037,-0.036,0,0,-0.034,-0.032,0.032,0.03,-0.028,0.00,0.001,0.00005
AM_G57 & G58,Negative control,0,0.006,0.001,0,0,0,0,0,0,0,0,0,0,0.00,0.001,0.00005
AM_G59 & G60,Negative control,-0.012,-0.012,-0.013,-0.013,-0.014,-0.014,-0.013,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,0.00,0.001,0.00005
PM_G3 & G4,Negative control,-0.027,-0.027,-0.028,-0.028,-0.028,-0.028,-0.029,-0.029,-0.029,-0.029,-0.028,-0.029,-0.029,0.00,0.001,0.00005
PM_G7 & G8,Negative control,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,-0.031,0.00,0.001,0.00005
PM_G9 & G10,Negative control,-0.006,-0.007,-0.007,-0.006,-0.005,-0.004,-0.004,-0.004,-0.003,-0.005,-0.005,-0.005,-0.005,0.00,0.001,0.00005
PM_G11 & G12,Negative control,-0.045,-0.035,-0.036,-0.038,-0.04,-0.041,-0.041,-0.042,-0.041,-0.042,-0.042,-0.042,-0.042,0.00,0.001,0.00005
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
