GROUP,Sample,0,10,20,30,40,50,60,70,80,90,100,110,120,rate of change,protein concentration (mg/mL),protein amount
2025_G55 & G56,Positive control,0.159,0.669,0.953,0.69,1.229,0.836,1.006,1.141,1.792,1.722,1.781,1.422,0.906,0.008837876,0.352,0.0176
2025_G57 & G58,Positive control,0.151,0.676,0.991,0.649,1.106,0.953,0.966,1.233,1.899,1.963,2.119,1.649,1.024,0.011223459,0.352,0.0176
2025_G59 & G60,Positive control,0.154,0.676,1.011,0.688,1.217,1.125,0.879,1.208,1.747,2.277,1.908,1.765,1.198,0.011652135,0.352,0.0176
AM_G59 & G60,Diseased cells - mitochondrial fraction,-0.032,-0.016,0.001,0.017,0.033,0.048,0.064,0.079,0.094,0.109,0.123,0.138,0.153,0.001536813,0.8282874,0.016565748
2025_G1 & G2,Diseased cells - cytosolic fraction,-0.012,-0.01,-0.007,-0.004,-0.002,0,0.002,0.005,0.007,0.009,0.011,0.013,0.014,0.000222527,0.331,0.01655
2025_G3 & G4,Diseased cells - cytosolic fraction,-0.011,-0.011,-0.007,-0.005,-0.002,0,0.002,0.006,0.008,0.01,0.011,0.012,0.013,0.00022311,0.331,0.01655
2025_G5 & G6,Diseased cells - cytosolic fraction,-0.011,-0.013,-0.007,-0.005,-0.002,0,0.002,0.006,0.008,0.01,0.011,0.014,0.014,0.00023413,0.331,0.01655
2025_G7 & G8,Diseased cells - cytosolic fraction,-0.012,-0.014,-0.007,-0.005,-0.003,0,0.002,0.007,0.01,0.01,0.013,0.015,0.014,0.000253627,0.331,0.01655
2025_G9 & G10,Diseased cells - cytosolic fraction,-0.013,-0.016,-0.006,-0.006,-0.002,0,0.002,0.007,0.009,0.01,0.012,0.017,0.016,0.000269389,0.331,0.01655
2025_G11 & G12,Diseased cells - cytosolic fraction,-0.014,-0.018,-0.006,-0.007,-0.002,0,0.002,0.007,0.008,0.011,0.014,0.016,0.017,0.000283237,0.331,0.01655
2025_G13 & G14,Diseased cells - cytosolic fraction,-0.013,-0.019,-0.006,-0.008,-0.002,0,0.002,0.007,0.008,0.013,0.013,0.016,0.017,0.000283721,0.331,0.01655
2025_G15 & G16,Diseased cells - cytosolic fraction,-0.014,-0.018,-0.007,-0.009,-0.002,0,0.001,0.007,0.008,0.013,0.012,0.017,0.019,0.000295851,0.331,0.01655
2025_G17 & G18,Diseased cells - cytosolic fraction,-0.015,-0.019,-0.007,-0.01,-0.003,0,0.001,0.008,0.008,0.016,0.011,0.02,0.019,0.000316118,0.331,0.01655
2025_G43 & G44,Diseased cells - cytosolic fraction,-0.015,-0.021,-0.007,-0.009,-0.003,0,0.001,0.009,0.008,0.016,0.012,0.021,0.023,0.000340567,0.331,0.01655
2025_G45 & G46,Diseased cells - cytosolic fraction,-0.015,-0.023,-0.008,-0.011,-0.002,0,0.001,0.01,0.008,0.02,0.012,0.022,0.027,0.000372534,0.331,0.01655
2025_G47 & G48,Diseased cells - cytosolic fraction,-0.014,-0.024,-0.008,-0.012,-0.003,0,0.001,0.012,0.007,0.019,0.01,0.026,0.028,0.000383089,0.331,0.01655
2025_G49 & G50,Diseased cells - cytosolic fraction,-0.013,-0.028,-0.008,-0.014,-0.003,0,0.001,0.014,0.006,0.017,0.01,0.024,0.025,0.00037769,0.331,0.01655
2025_G51 & G52,Diseased cells - cytosolic fraction,-0.015,-0.029,-0.007,-0.013,-0.003,0,0.001,0.014,0.007,0.018,0.011,0.023,0.028,0.000396858,0.331,0.01655
2025_G53 & G54,Diseased cells - cytosolic fraction,-0.014,-0.031,-0.008,-0.012,-0.003,0,0.002,0.016,0.008,0.019,0.012,0.025,0.032,0.000418502,0.331,0.01655
2025_G55 & G56,Diseased cells - cytosolic fraction,-0.013,-0.03,-0.008,-0.013,-0.003,0,0.002,0.016,0.009,0.017,0.012,0.028,0.031,0.000417422,0.331,0.01655
2025_G57 & G58,Diseased cells - cytosolic fraction,-0.013,-0.034,-0.008,-0.012,-0.003,0,0.002,0.016,0.01,0.016,0.011,0.031,0.028,0.000425528,0.331,0.01655
2025_G59 & G60,Diseased cells - cytosolic fraction,-0.014,-0.036,-0.008,-0.012,-0.004,0,0.002,0.016,0.01,0.016,0.01,0.034,0.03,0.000449861,0.331,0.01655
AM_G1 & G6,Diseased cells - cytosolic fraction,0,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.000017033,0.8258015,0.01651603
2025_G1 & G2,Diseased cells - mitochondrial fraction,0,0.008,0.016,0.024,0.033,0.042,0.051,0.059,0.068,0.076,0.085,0.093,0.101,0.000851374,0.324,0.0162
2025_G3 & G4,Diseased cells - mitochondrial fraction,0,0.008,0.016,0.023,0.033,0.049,0.053,0.057,0.062,0.079,0.09,0.108,0.116,0.000949338,0.324,0.0162
2025_G5 & G6,Diseased cells - mitochondrial fraction,0,0.008,0.018,0.027,0.033,0.047,0.053,0.069,0.072,0.074,0.082,0.123,0.123,0.000994937,0.324,0.0162
2025_G7 & G8,Diseased cells - mitochondrial fraction,0,0.008,0.017,0.025,0.029,0.044,0.058,0.062,0.081,0.073,0.096,0.111,0.147,0.001086221,0.324,0.0162
2025_G9 & G10,Diseased cells - mitochondrial fraction,0,0.009,0.016,0.025,0.031,0.041,0.068,0.063,0.094,0.079,0.098,0.111,0.154,0.001139442,0.324,0.0162
2025_G11 & G12,Diseased cells - mitochondrial fraction,0,0.009,0.016,0.029,0.029,0.043,0.077,0.062,0.106,0.093,0.118,0.1,0.18,0.001266647,0.324,0.0162
2025_G13 & G14,Diseased cells - mitochondrial fraction,0,0.01,0.015,0.035,0.033,0.041,0.079,0.071,0.111,0.1,0.127,0.1,0.2,0.001362847,0.324,0.0162
2025_G15 & G16,Diseased cells - mitochondrial fraction,0,0.011,0.016,0.039,0.035,0.04,0.084,0.082,0.123,0.093,0.118,0.108,0.23,0.001454601,0.324,0.0162
2025_G17 & G18,Diseased cells - mitochondrial fraction,0,0.011,0.015,0.036,0.042,0.044,0.084,0.078,0.144,0.096,0.138,0.117,0.237,0.001574314,0.324,0.0162
2025_G43 & G44,Diseased cells - mitochondrial fraction,0,0.013,0.017,0.043,0.048,0.043,0.08,0.076,0.149,0.109,0.161,0.124,0.263,0.001725628,0.324,0.0162
2025_G45 & G46,Diseased cells - mitochondrial fraction,0,0.013,0.018,0.048,0.049,0.045,0.076,0.07,0.143,0.103,0.193,0.131,0.244,0.00171873,0.324,0.0162
2025_G47 & G48,Diseased cells - mitochondrial fraction,0,0.014,0.02,0.05,0.045,0.042,0.077,0.065,0.13,0.119,0.21,0.15,0.281,0.001938322,0.324,0.0162
2025_G49 & G50,Diseased cells - mitochondrial fraction,0,0.017,0.022,0.056,0.044,0.049,0.069,0.066,0.152,0.118,0.216,0.15,0.267,0.001905111,0.324,0.0162
2025_G51 & G52,Diseased cells - mitochondrial fraction,0,0.02,0.022,0.061,0.051,0.053,0.075,0.077,0.141,0.126,0.236,0.146,0.251,0.001863348,0.324,0.0162
2025_G53 & G54,Diseased cells - mitochondrial fraction,0,0.018,0.024,0.057,0.056,0.061,0.079,0.072,0.137,0.144,0.236,0.138,0.266,0.001912147,0.324,0.0162
2025_G55 & G56,Diseased cells - mitochondrial fraction,0,0.019,0.023,0.065,0.058,0.059,0.074,0.071,0.151,0.159,0.269,0.151,0.29,0.0021189,0.324,0.0162
2025_G57 & G58,Diseased cells - mitochondrial fraction,0,0.021,0.024,0.064,0.062,0.06,0.084,0.068,0.172,0.168,0.272,0.146,0.348,0.002331463,0.324,0.0162
2025_G59 & G60,Diseased cells - mitochondrial fraction,0,0.025,0.026,0.072,0.071,0.071,0.094,0.072,0.18,0.17,0.299,0.137,0.355,0.002362122,0.324,0.0162
2025_G1 & G2,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.003,0.011,0.016,0.019,0.022,0.025,0.027,0.028,0.029,0.03,0.031,0.032,0.032,0.000213736,0.312,0.0156
2025_G3 & G4,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.004,0.012,0.016,0.022,0.022,0.03,0.031,0.032,0.032,0.035,0.034,0.038,0.037,0.00025633,0.312,0.0156
2025_G5 & G6,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.004,0.014,0.016,0.026,0.023,0.03,0.033,0.033,0.034,0.034,0.036,0.041,0.041,0.000270332,0.312,0.0156
2025_G7 & G8,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.004,0.014,0.015,0.029,0.024,0.032,0.03,0.034,0.033,0.036,0.035,0.048,0.04,0.000281414,0.312,0.0156
2025_G9 & G10,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.005,0.014,0.013,0.033,0.028,0.038,0.029,0.04,0.037,0.035,0.04,0.054,0.045,0.000313621,0.312,0.0156
2025_G11 & G12,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.005,0.014,0.012,0.037,0.03,0.039,0.031,0.046,0.044,0.042,0.046,0.06,0.054,0.000387323,0.312,0.0156
2025_G13 & G14,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.006,0.015,0.012,0.04,0.034,0.04,0.028,0.051,0.048,0.039,0.049,0.057,0.065,0.000411144,0.312,0.0156
2025_G15 & G16,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.007,0.016,0.013,0.043,0.035,0.046,0.028,0.05,0.049,0.044,0.044,0.061,0.073,0.000428822,0.312,0.0156
2025_G17 & G18,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.007,0.02,0.014,0.044,0.032,0.053,0.032,0.056,0.058,0.044,0.052,0.055,0.069,0.000414681,0.312,0.0156
2025_G43 & G44,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.008,0.021,0.015,0.045,0.038,0.059,0.033,0.062,0.057,0.046,0.061,0.063,0.073,0.000456699,0.312,0.0156
2025_G45 & G46,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.008,0.022,0.017,0.046,0.035,0.07,0.032,0.057,0.06,0.054,0.055,0.07,0.084,0.000499117,0.312,0.0156
2025_G47 & G48,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.008,0.024,0.019,0.052,0.04,0.081,0.036,0.061,0.061,0.058,0.056,0.071,0.097,0.000526929,0.312,0.0156
2025_G49 & G50,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.009,0.024,0.021,0.055,0.04,0.088,0.035,0.068,0.07,0.053,0.062,0.077,0.094,0.000535257,0.312,0.0156
2025_G51 & G52,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.009,0.023,0.021,0.065,0.042,0.1,0.034,0.077,0.079,0.058,0.056,0.081,0.104,0.000566633,0.312,0.0156
2025_G53 & G54,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.011,0.027,0.019,0.065,0.04,0.092,0.034,0.086,0.073,0.064,0.063,0.074,0.11,0.000582702,0.312,0.0156
2025_G55 & G56,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.01,0.032,0.022,0.075,0.046,0.104,0.041,0.091,0.075,0.067,0.065,0.078,0.119,0.000589498,0.312,0.0156
2025_G57 & G58,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.012,0.032,0.026,0.078,0.044,0.104,0.042,0.105,0.074,0.071,0.076,0.084,0.125,0.000643809,0.312,0.0156
2025_G59 & G60,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.015,0.035,0.027,0.091,0.052,0.103,0.049,0.124,0.07,0.079,0.088,0.085,0.123,0.000637946,0.312,0.0156
AM_G45 & G46,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.028,-0.016,-0.002,0.014,0.03,0.045,0.059,0.073,0.085,0.096,0.105,0.114,0.122,0.001297143,0.7692183,0.015384366
PM_G9 & G10,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0.064,0.073,0.083,0.089,0.093,0.1,0.106,0.112,0.117,0.123,0.129,0.135,0.141,0.000614286,0.7666881,0.015333762
2025_G1 & G2,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.016,0.031,0.048,0.066,0.083,0.101,0.118,0.135,0.152,0.169,0.186,0.202,0.001702747,0.299,0.01495
2025_G3 & G4,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.016,0.029,0.056,0.067,0.096,0.091,0.131,0.126,0.146,0.172,0.179,0.222,0.001724945,0.299,0.01495
2025_G5 & G6,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.018,0.03,0.056,0.064,0.096,0.097,0.139,0.133,0.142,0.16,0.211,0.244,0.001860826,0.299,0.01495
2025_G7 & G8,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.021,0.029,0.058,0.074,0.091,0.107,0.154,0.132,0.16,0.144,0.213,0.284,0.001981042,0.299,0.01495
2025_G9 & G10,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.019,0.029,0.059,0.072,0.1,0.106,0.146,0.123,0.186,0.139,0.217,0.289,0.002027456,0.299,0.01495
2025_G11 & G12,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.018,0.029,0.055,0.077,0.102,0.109,0.145,0.115,0.208,0.151,0.234,0.269,0.002066956,0.299,0.01495
2025_G13 & G14,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.016,0.032,0.064,0.092,0.092,0.113,0.148,0.113,0.231,0.181,0.267,0.256,0.002188397,0.299,0.01495
2025_G15 & G16,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.018,0.035,0.075,0.096,0.095,0.111,0.151,0.128,0.24,0.196,0.254,0.301,0.002331207,0.299,0.01495
2025_G17 & G18,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.017,0.041,0.071,0.089,0.109,0.131,0.142,0.125,0.257,0.227,0.231,0.301,0.002355076,0.299,0.01495
2025_G43 & G44,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.016,0.044,0.078,0.082,0.105,0.122,0.166,0.126,0.239,0.227,0.238,0.332,0.002449928,0.299,0.01495
2025_G45 & G46,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.015,0.051,0.082,0.078,0.101,0.115,0.151,0.131,0.239,0.27,0.238,0.398,0.002749657,0.299,0.01495
2025_G47 & G48,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.014,0.05,0.085,0.078,0.1,0.131,0.152,0.133,0.227,0.316,0.255,0.402,0.00289479,0.299,0.01495
2025_G49 & G50,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.014,0.059,0.086,0.073,0.114,0.119,0.181,0.123,0.254,0.36,0.252,0.466,0.00322045,0.299,0.01495
2025_G51 & G52,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.015,0.064,0.078,0.066,0.137,0.123,0.207,0.127,0.287,0.425,0.285,0.448,0.003462061,0.299,0.01495
2025_G53 & G54,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.014,0.069,0.078,0.06,0.15,0.119,0.232,0.13,0.316,0.468,0.308,0.515,0.00389218,0.299,0.01495
2025_G55 & G56,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.015,0.082,0.091,0.069,0.141,0.111,0.213,0.15,0.319,0.468,0.308,0.474,0.003716216,0.299,0.01495
2025_G57 & G58,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.015,0.092,0.095,0.062,0.154,0.125,0.256,0.156,0.297,0.552,0.341,0.483,0.003993739,0.299,0.01495
2025_G59 & G60,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.017,0.084,0.113,0.069,0.152,0.116,0.307,0.183,0.35,0.541,0.348,0.502,0.004170808,0.299,0.01495
AM_G43 & G44,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.044,-0.047,-0.048,-0.05,-0.05,-0.049,-0.046,-0.042,-0.036,-0.031,-0.031,-0.031,-0.032,0.000171429,0.6580733,0.013161466
AM_G59 & G60,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.027,-0.012,0.006,0.025,0.041,0.057,0.072,0.084,0.094,0.103,0.11,0.116,0.121,0.00126978,0.6491652,0.012983304
AM_G41 & G42,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.004,0.018,0.035,0.045,0.054,0.067,0.074,0.084,0.096,0.103,0.112,0.121,0.001036813,0.5783234,0.011566468
